Disp Cluster Num:1
No.6 ,166,82,5,66,438
No.7 ,166,82,5,66,438
No.8 ,166,82,5,66,438
No.9 ,166,82,5,66,438
No.10 ,166,82,5,66,438

Disp Cluster Num:4
Center Point ,128,45,23,55,925

No.1 ,128,45,23,55,925
No.2 ,128,45,23,55,925
No.3 ,128,45,23,55,925
No.4 ,128,45,7,55,925
No.5 ,128,45,23,23,925
No.6 ,128,45,23,55,925
No.7 ,128,45,23,55,925
No.8 ,128,45,23,55,925
No.9 ,128,45,23,55,925
No.10 ,130,45,23,55,925

Disp Cluster Num:5
Center Point ,289,72,279,58,530

No.1 ,289,72,279,58,530
No.2 ,289,72,279,58,530
No.3 ,289,72,263,58,530
No.4 ,289,72,279,58,530
No.5 ,289,72,279,58,530
No.6 ,289,72,279,58,530
No.7 ,289,72,279,58,530
No.8 ,289,72,279,58,530
No.9 ,289,72,279,58,530
No.10 ,289,72,279,58,530

Disp Cluster Num:6
Center Point ,68,62,368,7,659

No.1 ,68,62,368,7,659
No.2 ,68,63,368,7,659
No.3 ,68,62,368,7,659
No.4 ,68,62,368,7,659
No.5 ,68,62,368,7,659
No.6 ,68,62,368,7,659
No.7 ,68,62,368,7,659
No.8 ,68,62,368,7,659
No.9 ,68,62,368,7,659
No.10 ,68,62,368,7,659

Disp Cluster Num:7
Center Point ,128,45,23,55,925

No.1 ,128,45,23,55,925
No.2 ,128,45,23,55,925
No.3 ,130,45,23,55,925
No.4 ,128,45,23,55,925
No.5 ,128,45,31,55,925
No.6 ,128,45,23,55,925
No.7 ,128,45,23,55,925
No.8 ,128,45,23,55,925
No.9 ,128,45,23,55,925
No.10 ,128,45,23,55,925

Disp Cluster Num:8
Center Point ,321,57,439,6,811

No.1 ,321,57,439,6,811
No.2 ,321,57,439,6,811
No.3 ,321,57,439,6,811
No.4 ,321,57,503,6,811
No.5 ,321,57,439,6,811
No.6 ,321,57,439,6,811
No.7 ,321,57,439,6,811
No.8 ,321,57,439,6,811
No.9 ,321,57,439,6,811
No.10 ,321,57,439,6,811

